episode,reward,avg_reward,max_reward,min_reward,entropy,policy_loss,value_loss
21,-20.0,-20.142857142857142,-17.0,-21.0,1.7374570909887552,-0.01933894187095575,0.05594564649800304
22,-20.0,-20.136363636363637,-17.0,-21.0,1.7152100941166282,-0.021206697841989808,0.04043043412093539
23,-20.0,-20.130434782608695,-17.0,-21.0,1.718671714887023,-0.020295009249821305,0.0631274405750446
24,-19.0,-20.083333333333332,-17.0,-21.0,1.7138169631361961,-0.022387690885807388,0.04225143224175554
25,-21.0,-20.12,-17.0,-21.0,1.694077088497579,-0.025132568458502647,0.055684286533505656
26,-20.0,-20.115384615384617,-17.0,-21.0,1.6987537033855915,-0.01759074518486159,0.07447856073849835
27,-20.0,-20.11111111111111,-17.0,-21.0,1.6882754331454635,-0.021071878698421642,0.04747067631979007
28,-20.0,-20.107142857142858,-17.0,-21.0,1.684378357604146,-0.0222952035110211,0.05271002800145652
29,-20.0,-20.103448275862068,-17.0,-21.0,1.6656869873404503,-0.02307355872471817,0.052073783925152384
30,-21.0,-20.133333333333333,-17.0,-21.0,1.6596390940248966,-0.024482848311890848,0.057395084979361854
31,-19.0,-20.096774193548388,-17.0,-21.0,1.6536690220236778,-0.02371924792532809,0.05264783822349273
32,-20.0,-20.09375,-17.0,-21.0,1.6178765846416354,-0.025411663635168225,0.041589195185224526
33,-19.0,-20.060606060606062,-17.0,-21.0,1.6402223454788327,-0.02428572270582663,0.06246495159575716
34,-16.0,-19.941176470588236,-16.0,-21.0,1.6110347528010607,-0.024972938728751615,0.06109269602166023
35,-20.0,-19.942857142857143,-16.0,-21.0,1.6041780319064856,-0.028613373069674708,0.05709676202968694
36,-21.0,-19.97222222222222,-16.0,-21.0,1.5707600275054574,-0.02667176094109891,0.05120090424316004
37,-19.0,-19.945945945945947,-16.0,-21.0,1.574302359484136,-0.026489720868994482,0.05719772103475407
38,-17.0,-19.86842105263158,-16.0,-21.0,1.5730499625205994,-0.025945508605218492,0.053256537386914715
39,-18.0,-19.82051282051282,-16.0,-21.0,1.5832516308873892,-0.02686744255333906,0.04524289943219628
40,-21.0,-19.85,-16.0,-21.0,1.5671940930187702,-0.028448318436858244,0.044123036044766195
41,-15.0,-19.73170731707317,-15.0,-21.0,1.5507777957245708,-0.026694874817621894,0.04277151796850376
